time,handled_num,q_len,comId
415431,6240,13760,0
415436,6240,13760,0
415441,6240,13760,0
415446,6240,13760,0
415451,6240,13760,0
415456,6240,13760,0
415461,6240,13760,0
415466,6240,13760,0
415471,6240,13760,0
415476,6240,13760,0
415481,6240,13760,0
415486,6240,13760,0
415491,6240,13760,0
415496,6240,13760,0
415501,6240,13760,0
415506,6240,13760,0
415511,6240,13760,0
415516,6240,13760,0
415521,6240,13760,0
415526,6240,13760,0
415531,6240,13760,0
415536,6240,13760,0
415541,6241,13759,0
415546,6241,13759,0
415551,6242,13758,0
415556,6243,13757,0
415561,6243,13757,0
415566,6243,13757,0
415571,6243,13757,0
415576,6243,13757,0
415581,6244,13756,0
415586,6244,13756,0
415591,6244,13756,0
415596,6244,13756,0
415601,6244,13756,0
415606,6244,13756,0
415611,6246,13754,0
415616,6246,13754,0
415621,6246,13754,0
415626,6246,13754,0
415631,6246,13754,0
415636,6246,13754,0
415641,6247,13753,0
415646,6247,13753,0
415651,6247,13753,0
415656,6247,13753,0
415661,6248,13752,0
415666,6248,13752,0
415671,6250,13750,0
415676,6250,13750,0
415681,6250,13750,0
415686,6250,13750,0
415691,6250,13750,0
415696,6250,13750,0
415701,6250,13750,0
415706,6250,13750,0
415711,6250,13750,0
415716,6250,13750,0
415721,6250,13750,0
415726,6250,13750,0
415731,6250,13750,0
415736,6250,13750,0
415741,6250,13750,0
415746,6250,13750,0
415751,6250,13750,0
415756,6250,13750,0
415761,6250,13750,0
415766,6250,13750,0
415771,6250,13750,0
415776,6250,13750,0
415781,6250,13750,0
415786,6250,13750,0
415791,6250,13750,0
415796,6250,13750,0
415801,6250,13750,0
415806,6250,13750,0
415811,6250,13750,0
415816,6250,13750,0
415821,6250,13750,0
415826,6250,13750,0
415831,6250,13750,0
415836,6250,13750,0
415841,6250,13750,0
415846,6250,13750,0
415851,6250,13750,0
415856,6250,13750,0
415861,6250,13750,0
415866,6250,13750,0
415871,6250,13750,0
415876,6250,13750,0
415881,6250,13750,0
415886,6250,13750,0
415891,6250,13750,0
415896,6250,13750,0
415901,6250,13750,0
